frame,inliers,dx_px,dy_px,rot_deg,dt_ms
484,892,-1.194,-0.157,-0.213,27.32
485,921,-0.791,3.405,-0.668,33.95
486,919,3.829,4.347,-0.549,23.12
487,895,4.148,4.780,-0.567,25.17
488,794,7.141,6.677,-0.527,25.24
489,889,-1.168,4.347,-0.418,33.84
490,877,-2.970,4.960,-0.141,37.10
491,817,1.983,5.679,0.357,18.79
492,794,-2.639,4.374,0.412,21.77
493,767,0.226,5.119,0.317,26.21
494,738,1.918,6.831,0.233,21.86
495,670,-4.393,6.415,0.045,23.63
496,696,-9.286,4.788,-0.223,28.96
497,662,-1.550,9.175,-0.468,21.63
498,622,-5.555,12.139,-0.968,20.32
499,603,-1.638,5.647,-0.503,24.54
500,598,-4.994,3.746,-0.347,14.49
501,586,-3.104,2.637,-0.213,21.95
502,579,-1.064,2.492,-0.133,14.45
503,573,-2.728,0.917,-0.075,23.85
504,569,-8.481,-0.806,-0.111,14.66
505,569,1.515,-0.608,0.008,22.04
506,567,2.689,-0.568,-0.015,17.79
507,567,3.984,1.604,-0.127,19.10
508,552,4.466,3.960,-0.111,19.05
509,555,-2.233,1.599,-0.158,18.07
510,390,-25.307,4.446,-0.449,20.52
511,526,0.803,2.785,-0.124,18.56
512,438,6.785,2.291,-0.016,32.69
513,466,-1.742,-1.155,-0.011,15.93
514,508,0.982,-1.520,0.064,17.43
515,504,4.060,2.338,0.172,19.91
516,487,-3.662,5.058,0.033,25.64
517,449,4.372,4.571,0.116,107.01
518,251,-12.138,15.970,-0.050,55.75
519,61,-28.899,19.583,-0.114,41.75
520,110,-36.398,12.732,-0.170,21.56
521,131,-10.594,4.852,-0.407,12.80
522,159,-11.739,7.800,-0.378,10.95
523,159,1.653,7.068,-0.060,12.50
524,156,0.658,6.444,-0.065,19.78
525,149,-4.442,6.049,-0.233,11.80
526,146,1.846,3.398,-0.151,16.25
527,136,-6.734,3.041,-0.203,11.63
528,138,-17.674,3.180,-0.456,13.70
529,139,-12.575,-2.859,-0.761,12.43
530,140,2.109,-2.486,-0.232,13.46
531,139,-6.026,1.712,-0.243,15.10
532,140,-9.232,4.832,-0.149,14.37
533,135,4.287,4.159,0.291,15.03
534,134,-0.358,2.454,0.509,26.38
535,127,8.407,-2.504,1.558,12.61
536,131,-2.567,-6.052,1.130,13.17
537,128,8.798,-6.781,1.233,10.75
538,117,13.707,-5.364,1.528,10.88
539,121,6.978,-4.216,1.551,13.04
540,113,0.387,-3.152,1.443,13.79
541,108,-0.775,-0.800,1.292,28.38
542,97,-7.553,0.658,1.830,14.90
543,90,-6.686,5.028,1.243,13.32
544,1090,3.147,7.143,1.177,92.02
545,885,15.031,5.038,1.584,26.85
546,864,14.696,-3.865,1.921,26.39
547,995,16.316,-7.206,1.693,41.12
548,590,-0.495,-11.012,2.577,36.03
549,1034,-8.459,-2.476,1.219,26.58
550,1055,-7.533,-0.554,0.838,24.28
551,1014,-6.914,1.867,0.705,27.23
552,957,-11.499,5.625,0.333,24.32
553,1013,1.349,7.975,0.318,29.64
554,614,0.562,5.384,0.876,35.41
555,833,-1.711,-9.062,1.003,28.95
556,974,4.429,-6.475,1.469,22.96
557,999,-0.215,-0.480,1.780,28.18
558,983,6.674,0.105,1.921,31.21
559,614,2.793,-2.232,2.443,45.14
560,690,2.186,-4.530,2.048,28.74
561,515,31.634,-9.561,2.234,23.06
562,492,10.668,-9.469,1.652,25.97
563,900,-3.421,-11.967,1.916,20.25
564,920,-4.398,-5.071,1.916,28.44
565,920,-3.599,-5.290,1.622,33.08
566,915,-1.665,-4.459,1.317,23.80
567,896,2.133,-3.636,1.837,22.61
568,828,-1.091,0.816,1.135,22.82
569,872,1.327,1.928,0.867,27.57
570,775,5.267,-0.725,0.945,21.71
571,609,-12.447,0.591,1.160,25.43
572,723,-6.529,5.186,0.560,37.68
573,691,7.551,3.176,1.739,24.49
574,701,1.176,0.269,1.446,21.18
575,728,4.141,-1.763,1.412,23.82
576,723,6.124,-1.900,1.432,20.02
577,663,4.130,-2.546,1.786,24.87
578,676,2.666,-0.955,1.686,16.58
